tract_id,children,density_hh,density_jobs,density_units,hh_obs_growth_13_18,hh_prop_obs_growth_13_18,hh_prop_obs_growth_18_19,hh_prop_sim_growth_13_18,hh_prop_sim_growth_18_19,hh_prop_sim_growth_year,hh_sim_growth_13_18,hh_sim_growth_year,jobs_obs_growth_10_17,jobs_prop_obs_growth_10_17,jobs_prop_obs_growth_17_18,jobs_prop_sim_growth_10_17,jobs_prop_sim_growth_17_18,jobs_prop_sim_growth_year,jobs_sim_growth_10_17,jobs_sim_growth_year,prop_hh_rent,prop_units_mf,sum_acres,total_hh,total_jobs,total_persons,total_units,units_obs_growth_13_18,units_prop_obs_growth_13_18,units_prop_obs_growth_18_19,units_prop_sim_growth_13_18,units_prop_sim_growth_18_19,units_prop_sim_growth_year,units_sim_growth_13_18,units_sim_growth_year
06075016500,488.0,25.6056401383149,21.880587541401344,510.35316955355836,207.0,0.04901171545739532,0.0787572806404025,0.0,0.0,,0,0.0,47.0,0.0029971775515227573,0.023654044974578545,0.0,0.0,,0,0.0,0.7969283276450512,0.9335481272654047,91.54233158547615,2344.0,2003.0,4544.0,2483.0,259.0,0.04068533584252419,0.03316016359014038,0.0,0.0,,0,0.0
06075022901,723.0,22.89756260032103,10.847923274478331,407.8296672329066,236.0,0.05587809105287582,0.025272858712964977,0.0,0.0,,0,0.0,197.0,0.012562637822340069,0.03136154277528392,0.0,0.0,,0,0.0,0.7773049645390071,0.714,61.578606623406785,1410.0,668.0,3776.0,1500.0,417.0,0.06550496156885169,0.017685420581408203,0.0,0.0,,0,0.0
06085511915,982.0,4.405811449097117,2.6053942092947877,128.94199675915618,141.0,0.033384791688370725,0.01998319061025138,0.0,0.0,,0,0.0,488.0,0.03111963074772565,0.018604305036185372,0.0,0.0,,0,0.0,0.6174551386623165,0.5932336742722266,278.2688306489476,1226.0,725.0,3400.0,1271.0,246.0,0.03864321473845927,0.011053387863380126,0.0,0.0,,0,0.0
06075023102,923.0,9.875258690065161,3.507252267993682,158.64805910333297,370.0,0.08760548173544092,0.05936183093045262,0.0,0.0,,0,0.0,273.0,0.017409137692887506,0.031627318561515134,0.0,0.0,,0,0.0,0.7054009819967266,0.6116352201257862,123.74359379864882,1222.0,434.0,3112.0,1272.0,511.0,0.0802710680136288,0.0,0.0,0.0,,0,0.0
06075015900,394.0,31.304843460127024,51.86876907660434,347.7574453670661,229.0,0.05422069004707018,0.10931980745608105,0.0,0.0,,0,0.0,71.0,0.004527651194853527,0.03587973114121465,0.0,0.0,,0,0.0,0.7890590809628009,0.9705760464152507,72.99189989275635,2285.0,3786.0,3983.0,2413.0,660.0,0.10367691759098827,0.03979219630816845,0.0,0.0,,0,0.0
06001404501,387.0,2.51160949277794,0.40521606642202235,35.45463993196387,73.0,0.017284324774830235,0.008816113504522667,0.0,0.0,,0,0.0,53.0,0.0033797959623554498,0.010099479876786346,0.0,0.0,,0,0.0,0.10901162790697674,0.07323943661971831,273.9279342502582,688.0,111.0,1817.0,710.0,71.0,0.011153122952969951,0.0022106775726760254,0.0,0.0,,0,0.0
06085503511,863.0,3.9289239523182387,2.6013869150131943,97.94367372524094,124.0,0.029359674959985607,0.027623822314171022,0.0,0.0,,0,0.0,169.0,0.01077708523845417,0.008504825159399028,0.0,0.0,,0,0.0,0.2124223602484472,0.0012033694344163659,204.89070538639834,805.0,533.0,3295.0,831.0,104.0,0.016336968832519366,0.006632032718028076,0.0,0.0,,0,0.0
06085503402,1485.0,5.426701069322104,3.6499018727117614,99.98638375249317,75.0,0.01775786791934613,0.04408056752261333,0.0,0.0,,0,0.0,28.0,0.0017855525838858981,0.018338529249954154,0.0,0.0,,0,0.0,0.6645962732919255,0.49408783783783783,207.67681609939558,1127.0,758.0,4968.0,1184.0,329.0,0.051681372556719916,0.0,0.0,0.0,,0,0.0
06085503401,1259.0,4.937834161667104,3.227130960302654,108.98091817641779,158.0,0.03740990841675585,0.03820315851959822,0.0,0.0,,0,0.0,191.0,0.012180019411507377,0.009302152518092686,0.0,0.0,,0,0.0,0.3540983606557377,0.06342494714587738,185.30391463999248,915.0,598.0,4348.0,946.0,248.0,0.038957387216007715,0.011053387863380126,0.0,0.0,,0,0.0
06085503213,890.0,4.376511827374093,1.222036944228931,135.7065945840076,253.0,0.05990320778126095,0.055247644628342044,0.0,0.0,,0,0.0,84.0,0.005356657751657694,0.011694134594173664,0.0,0.0,,0,0.0,0.3473507148864592,0.44120032441200324,271.6775475306781,1189.0,332.0,3958.0,1233.0,316.0,0.049639251452655,0.0,0.0,0.0,,0,0.0
06081600401,627.0,8.282489136811733,0.6071749555181534,141.38946191678792,161.0,0.038120223133529696,0.031150267715980083,0.0,0.0,,0,0.0,52.0,0.003316026227216668,0.005581291510855612,0.0,0.0,,0,0.0,0.22838345864661655,0.2116788321167883,128.46379662256663,1064.0,78.0,2962.0,1096.0,363.0,0.05702230467504356,0.011053387863380126,0.0,0.0,,0,0.0
06081601605,1025.0,7.251267793603745,1.7902774836783668,161.42643681950688,189.0,0.044749827156752256,0.09109983954673422,0.0,0.0,,0,0.0,129.0,0.008226295832902887,0.0,0.0,0.0,,0,0.0,0.22143280047365305,0.04173813607775872,232.9247861304814,1689.0,417.0,5798.0,1749.0,266.0,0.041784939513943756,0.02873880844478833,0.0,0.0,,0,0.0
06013392300,661.0,1.706864975147929,4.58612205443787,66.1147332784987,173.0,0.04096148200062508,0.04525604932321635,0.0,0.0,,0,0.0,1294.0,0.082518037269584,0.031893094347746356,0.0,0.0,,0,0.0,0.24579124579124578,0.24623655913978496,522.0096568697707,891.0,2394.0,2767.0,930.0,156.0,0.02450545324877905,0.06853100475295679,0.0,0.0,,0,0.0
06075026403,702.0,11.29059587547616,4.167526914488375,225.15786937445472,222.0,0.052563289041264546,0.049957976525628445,0.0,0.0,,0,0.0,330.0,0.021044012595798085,0.003720861007237075,0.0,0.0,,0,0.0,0.4500941619585687,0.18214285714285713,94.06058030176482,1062.0,392.0,3418.0,1120.0,395.0,0.06204906431581874,0.011053387863380126,0.0,0.0,,0,0.0
06085503331,562.0,3.966693683517793,2.4795538559405474,76.87737696860913,234.0,0.05540454790835993,0.026448340513567998,0.0,0.0,,0,0.0,309.0,0.01970484815788366,0.01461766824271708,0.0,0.0,,0,0.0,0.23450336071695296,0.2655367231638418,337.560726093811,1339.0,837.0,3335.0,1416.0,412.0,0.06471953037498056,0.011053387863380126,0.0,0.0,,0,0.0
06075011100,226.0,50.41983052840271,66.44982546047217,766.2143492749403,378.0,0.08949965431350451,0.052896681027135996,0.0,0.0,,0,0.0,82.0,0.00522911828138013,0.03242464592020879,0.0,0.0,,0,0.0,0.8971688903351773,0.9681227863046045,60.94824135255482,3073.0,4050.0,5158.0,3388.0,737.0,0.11577255797660359,0.05084558417154858,0.0,0.0,,0,0.0
06085503325,1269.0,4.005648731073104,2.2049111483654653,99.30974362569759,197.0,0.04664399973481584,0.051133458326231465,0.0,0.0,,0,0.0,239.0,0.015240966698168917,0.015414995601410738,0.0,0.0,,0,0.0,0.2594594594594595,0.021872265966754154,277.10867190859085,1110.0,611.0,4316.0,1143.0,182.0,0.028589695456908887,0.0,0.0,0.0,,0,0.0
06075042700,734.0,23.325241615919033,6.644520358276255,452.1541924232048,470.0,0.11128263896123575,0.08698565324462364,0.0,0.0,,0,0.0,272.0,0.017345367957748725,0.005315515724624392,0.0,0.0,,0,0.0,0.7185374149659864,0.8458850931677019,100.83496834582861,2352.0,670.0,4997.0,2576.0,589.0,0.09252379463801833,0.0,0.0,0.0,,0,0.0
06085508507,701.0,14.123561457128696,9.412225497687098,175.3940785649272,183.0,0.04332919772320456,0.06817794443497528,0.0,0.0,,0,0.0,77.0,0.00491026960568622,0.005049739938393173,0.0,0.0,,0,0.0,0.7174556213017751,0.8600706713780919,95.72656331081382,1352.0,901.0,3066.0,1415.0,325.0,0.051053027601623016,0.013264065436056151,0.0,0.0,,0,0.0
06085504412,1372.0,5.234855252493306,2.214113306479087,120.19255221060212,268.0,0.06345478136513018,0.04408056752261333,0.0,0.0,,0,0.0,194.0,0.012371328616923721,0.017806977677491714,0.0,0.0,,0,0.0,0.3632075471698113,0.17424826522744796,242.98666126330042,1272.0,538.0,4693.0,1297.0,457.0,0.07178841111982066,0.004421355145352051,0.0,0.0,,0,0.0
06085501502,973.0,5.053014822547933,1.5447522293608782,114.90868273677788,300.0,0.07103147167738452,0.030562526815678573,0.0,0.0,,0,0.0,55.0,0.003507335432633014,0.0002657757862312196,0.0,0.0,,0,0.0,0.4604051565377532,0.327693677649154,214.92119816351442,1086.0,332.0,3707.0,1123.0,462.0,0.0725738423136918,0.006632032718028076,0.0,0.0,,0,0.0
